name,address,phone,website,email,latitude,longitude
Agence du Golf-Sogeclub,"823 All. des Goélands, 34280 La Grande-Motte, France",04 67 56 83 29,http://www.agence-dugolf.com/,logo@2x.png,43.5682271,4.099437300000001
Mas les chênes,"Le Roucourel, Gardies, 34570 Pignan, France",06 14 74 90 16,,N/A,43.59230999999999,3.736549999999999
Les Amandiers de Calvisson,"1bis Chem. du Roc, 30420 Calvisson, France",06 51 40 17 37,https://lesamandiersdecalvisson.fr/,lesamandiersdecalvisson@gmail.com,43.78161999999999,4.189899199999999
LOCABED Le Mas des Cigales,"384 Rue des Romarins, 34160 Castries, France",04 84 49 06 00,,N/A,43.6869021,3.985985100000001
Sacré coeur de ville,"47 Cr Gabriel Péri, 34400 Lunel, France",04 99 51 78 54,http://www.sacrecoeurdeville.com/,N/A,43.67493249999999,4.1338634
Clos Des Cailloux,"215 bis Rue de Plo Midi, 34730 Prades-le-Lez, France",06 03 95 07 92,,N/A,43.6968643,3.8720792
Lake of Dreams - Camping 4 Siblu,"Rte de Pérols, 34970 Lattes, France",04 67 50 26 00,http://www.camping-lelacdesreves.fr/,N/A,43.5557542,3.939630600000001
Résidence Ulysse - Les Rivages d'Ulysse - Locations vacances,"227b Rte des Marines, 30240 Le Grau-du-Roi, France",04 66 73 44 00,https://www.ulysse-camargue.com/,N/A,43.51833049999999,4.126049399999999
Camping Sandaya Tamaris,"140 Av. d'Ingril, 34110 Frontignan, France",04 67 43 44 77,https://www.sandaya.fr/nos-campings/les-tamaris?utm_source=google&utm_medium=gbp&utm_campaign=cta_siteweb_LesTamaris,N/A,43.449763,3.805768999999999
Camping Marvilla Parks - Le Palavas,"Rte de Maguelone, 34250 Palavas-les-Flots, France",04 30 17 20 00,https://www.palavas-camping.fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb_search,info.form.fr@tohapi.fr,43.5190241,3.9086416
Agence immobilière Guy Hoquet MONTPELLIER-CELLENEUVE,"1 Pl. Renaudel, 34080 Montpellier, France",04 67 87 48 80,https://montpellier-celleneuve.guy-hoquet.com/,montpellier-celleneuve@guyhoquet.com,43.61451599999999,3.8290757
Natureva-Spa,"Cap d, Village Naturiste, 1 Rdpt du Bagnas, 34300 Agde, France",04 67 32 16 51,http://www.natureva-spa.com/,contact@natureva-spa.com,43.2977217,3.525086200000001
Cosy Lodge Chambre dans T3 duplex N2,"385 Chem. de la Mosson, 34750 Villeneuve-lès-Maguelone, France",06 81 82 62 84,https://www.google.dz/travel/hotels/entity/CgoIpqePvuvWi_kZEAE/overview?utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAEaIAoCGgASGhIUCgcI6A8QBhgTEgcI6A8QBhgUGAEyAhAAKgQKABoA&pli=1%20(https://www.google.dz/travel/hotels/entity/CgoIpqePvuvWi_kZEAE/overview?utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAEaIAoCGgASGhIUCgcI6A8QBhgTEgcI6A8QBhgUGAEyAhAAKgQKABoA&pli=1),N/A,43.5371489,3.8629104
Orpi CAPA IMMOBILIER Mèze,"rés le grand galion, 2c Pl. Baptiste Milhau, 34140 Mèze, France",04 67 18 45 60,https://www.orpi.com/capaimmobilier/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_meze&utm_content=capaimmobilier,N/A,43.42737339999999,3.6045472
Camping Sandaya Plein Air des Chênes,"531 Av. Georges Frêche, 34830 Clapiers, France",04 67 02 02 53,https://www.sandaya.fr/nos-campings/plein-air-des-chenes?utm_campaign=cta_site_web_PleinAirDesChenes&utm_medium=gbp&utm_source=google,N/A,43.6513755,3.8960428
First Immobilier,"38 Grand Rue Louis Bouis, 34160 Sussargues, France",04 67 56 72 34,http://www.immobilierfirst.com/,contact@immobilierfirst.com,43.7124909,4.004798399999999
CENTURY 21 LGI,"1035 Av. du Père Soulas, 34090 Montpellier, France",04 67 52 00 14,https://www.century21-granie-montpellier.com/,mobile-century21_hero-0@2x.webp,43.6213037,3.8562405
Agence de la Comédie,"8 Pl. de la Comédie, 34000 Montpellier, France",04 67 66 27 54,http://www.agencecomedie.fr/,logo@2x.png,43.6087891,3.8795418
Location appartement design,"12 Rue du Pila St Gély, 34000 Montpellier, France",06 70 64 61 82,,N/A,43.6133703,3.8799482
